Id_bien;Date;Valeur
232;2020-06-30;840000
233;2020-06-30;282000
234;2020-06-30;240000
235;2020-06-30;2088000
236;2020-06-30;2122400
237;2020-06-30;2390000
238;2020-06-30;255000
239;2020-06-30;635000
240;2020-06-30;448500
241;2020-06-30;424000
242;2020-06-30;316280
243;2020-06-30;928000
244;2020-06-30;186500
245;2020-06-30;179000
246;2020-06-30;152312
247;2020-06-30;635300
248;2020-06-30;265000
249;2020-06-30;402800
250;2020-06-30;98000
251;2020-06-30;136000
252;2020-06-30;485000
253;2020-06-30;195000
254;2020-06-30;835000
255;2020-06-30;405800
256;2020-06-30;375000
257;2020-06-30;445000
258;2020-06-30;1195000
259;2020-06-30;275000
260;2020-06-30;745200
261;2020-06-30;213000
262;2020-06-30;425324
263;2020-06-30;130000
264;2020-06-30;74000
265;2020-06-30;115000
266;2020-06-30;107500
267;2020-06-30;115000
268;2020-06-30;112000
269;2020-06-30;170000
270;2020-06-30;258200
271;2020-06-30;80000
272;2020-06-30;247000
273;2020-06-30;178500
274;2020-06-30;251000
275;2020-06-30;232000
276;2020-06-30;130000
277;2020-06-30;85000
278;2020-06-30;180000
279;2020-06-30;276950
280;2020-06-30;271855
281;2020-06-30;170000
282;2020-06-30;103000
283;2020-06-30;129000
284;2020-06-30;220000
285;2020-06-30;190000
286;2020-06-30;219000
287;2020-06-30;190000
288;2020-06-30;304645
289;2020-06-30;250000
290;2020-06-30;147000
291;2020-06-30;307200
292;2020-06-30;330000
293;2020-06-30;806860
294;2020-06-30;390400
295;2020-06-30;630000
296;2020-06-30;166000
297;2020-06-30;95000
298;2020-06-30;160000
299;2020-06-30;281300
300;2020-06-30;342000
301;2020-06-30;480000
302;2020-06-30;252300
303;2020-06-30;231275
304;2020-06-30;264100
305;2020-06-30;75000
306;2020-06-30;166000
307;2020-06-30;200000
308;2020-06-30;209000
309;2020-06-30;1020000
310;2020-06-30;692000
311;2020-06-30;181000
312;2020-06-30;235000
313;2020-06-30;154600
314;2020-06-30;150000
315;2020-06-30;80000
316;2020-06-30;340000
317;2020-06-30;129000
318;2020-06-30;312000
319;2020-06-30;127500
320;2020-06-30;203000
321;2020-06-30;78000
322;2020-06-30;420000
323;2020-06-30;237220
324;2020-06-30;275650
325;2020-06-30;200000
326;2020-06-30;180100
327;2020-06-30;126850
328;2020-06-30;304300
329;2020-06-30;140000
330;2020-06-30;
331;2020-06-30;135000
332;2020-06-30;350000
333;2020-06-30;96500
334;2020-06-30;52500
335;2020-06-30;95000
336;2020-06-30;80000
337;2020-06-30;114200
338;2020-06-30;75000
339;2020-06-30;70000
340;2020-06-30;172440
341;2020-06-30;114500
342;2020-06-30;526000
343;2020-06-30;68000
344;2020-06-30;57000
345;2020-06-30;126000
346;2020-06-30;62000
347;2020-06-30;79900
348;2020-06-30;423000
349;2020-06-30;80000
350;2020-06-30;86400
351;2020-06-30;263000
352;2020-06-30;58444
353;2020-06-30;134000
354;2020-06-30;158500
355;2020-06-30;154000
356;2020-06-30;165000
357;2020-06-30;175000
358;2020-06-30;116000
359;2020-06-30;380000
360;2020-06-30;84500
361;2020-06-30;110000
362;2020-06-30;299000
363;2020-06-30;140340
364;2020-06-30;165000
365;2020-06-30;252000
366;2020-06-30;130000
367;2020-06-30;342000
368;2020-06-30;175000
369;2020-06-30;195000
370;2020-06-30;172000
371;2020-06-30;200000
372;2020-06-30;85000
373;2020-06-30;220000
374;2020-06-30;293300
375;2020-06-30;200900
376;2020-06-30;280000
377;2020-06-30;265000
378;2020-06-30;98000
379;2020-06-30;230000
380;2020-06-30;267000
381;2020-06-30;370000
382;2020-06-30;480000
383;2020-06-30;310000
384;2020-06-30;175000
385;2020-06-30;477000
386;2020-06-30;360000
