Id_bien;Id_codedep_codecommune;No_voie;BTQ;Type_de_voie;Voie;Nombre_de_piece;Surface Carrez du 1er lot;Surface_local;Type_de_location
8334;95500;88;;RUE;PIERRE BUTIN;1;33,07;38;2
8335;95500;88;;RUE;PIERRE BUTIN;2;37,88;52;2
8336;95500;8;;PL;ARISTIDE BRIAND;3;69;66;2
8337;95555;1;;AV;MATHILDE;4;90,36;88;2
8338;95572;8;;RUE;DE L OISE;3;63,54;64;2
8339;95585;35;;RTE;DE GARGES;4;68,46;67;2
8340;95607;5;;RUE;JEAN JAURES;1;28,96;28;2
8341;95637;3;;RUE;VAGABONDE;3;61,33;61;2
8342;95680;2;;PL;LALO;3;60,29;60;2
8343;972209;36;;AV;GEORGES PLISSONNEAU;2;30,67;30;2
8344;972210;6032;F;VC;DE BOIS NEUF;3;69,87;68;2
8345;972213;98;;IMP;DES INDES;2;67,88;38;2
8346;972227;5319;;RES;LES COTTAGES;3;60,06;61;2
8347;972227;5077;F;;LES COTEAUX;3;76,09;75;2
8348;972229;5220;;TSSE;DU LEVANT;2;54,95;55;2
8349;972230;5146;F;RUE;DE LA PLAGE;1;17,03;18;2
8350;972231;34;;RUE;DES PECHEURS;5;167,56;131;1
8351;973309;3;;RUE;DE L'INDIGOTERIE;3;62,47;62;2
8352;02810;41;;RUE;DU GRAND MONTOIR;3;51,07;42;2
8353;04006;7197;;RES;LE SCHUSS 3;1;16,61;17;2
8354;04006;7052;;;LES AUCHES;1;17,6;17;2
8355;04096;5135;;RUE;DE COCODY;3;28,9;63;1
8356;05023;2;;RUE;PASTEUR;2;66,45;66;2
8357;05079;5809;;;LE ROCHAS;1;28,56;28;2
8358;05096;5316;;;MERLETTE;2;32,97;33;2
8359;06004;728;;RTE;DE SAINT JEAN;1;27,54;28;2
8360;06004;21;;BD;GUSTAVE CHANCEL;3;65,56;66;2
8361;06004;14;;AV;DOCTEUR FABRE;2;51,36;58;2
8362;06004;280;;CHE;DU VALBOSQUET;3;128,91;90;1
8363;06073;5674;;;LE HAMEAU;2;39,04;40;2
8364;06088;54;;BD;HENRI SAPPIA;4;78,41;78;2
8365;06088;54;;AV;DU RAY;3;54,44;53;2
8366;06088;54;;AV;DU RAY;4;64,04;63;2
8367;06088;28;;RUE;GEORGES VILLE;1;18,18;17;2
8368;06088;8;;BD;DE RIQUIER;2;34,02;34;2
8369;06088;12;;PL;GUYNEMER;3;57,1;44;2
8370;06088;66;;BD;DE LA MADELEINE;1;23,61;25;2
8371;06088;101;;AV;DE LA CALIFORNIE;2;36,73;42;2
8372;06127;32;;RUE;DOCTEUR CAGNOLI;2;43,62;40;2
8373;06159;3;;AV;DE LA BARMASSA;1;50,01;47;2
8374;10265;29;;RUE;DE LA REPUBLIQUE;5;105,62;100;1
8375;10333;7;;AV;ANDRE GILLIER;5;90,81;88;2
8376;10387;36;;RUE;CHARLES GROS;2;53,29;53;2
8377;10387;48;;AV;PIERRE BROSSOLETTE;3;52,65;55;2
8378;11106;;;RUE;DU CIMETIERE;2;30,23;32;2
8379;11145;5;;BD;DE BELLEVUE;3;42,8;43;2
8380;11145;1;;AV;DES CORSAIRES;3;38,5;35;2
8381;11262;2;B;RUE;FABERT;2;54,74;56;2
8382;11262;37;;RUE;EMILE EUDES;4;43,57;44;2
8383;11262;224;;RES;BALCONS D L MEDITERRANEE 2;2;21,32;26;2
8384;11379;12;;RUE;DE LA ROUQUILLE;3;45,97;47;1
8385;13211;546;A;BD;MIREILLE LAUZE;3;66,87;58;2
8386;13212;134;;BD;DES LIBERATEURS;2;48,19;48;2
8387;14079;5753;;VC;RES LA CORNICHE DU MONT;2;34,02;32;2
8388;14333;8;;RUE;DES LINGOTS;2;38,1;44;2
8389;14366;18;B;RUE;JOSEPH GUILLONNEAU;2;32,12;33;2
8390;14715;43;B;RUE;DU MANOIR;2;26,9;29;2
8391;14754;28;;AV;DE LA REPUBLIQUE;2;55,79;49;2
8392;14754;9002;;VC;RES DEAUVILLE 2000;2;25,54;28;2
8393;17028;6;;RUE;DE LA CARAVELLE;2;44,81;44;2
8394;17300;11;;RUE;SAINT YON;2;42,67;43;2
8395;17449;9001;;RES;BEL AIR;4;66,84;66;2
8396;19272;9;;AV;WINSTON CHURCHILL;2;31,99;34;2
8397;21231;1;C;RUE;DU PETIT BERNARD;2;59,8;64;2
8398;22278;4;A;RUE;VICTOR DURUY;4;71,08;71;2
8399;22278;25;B;RUE;CORDIERE;3;64,67;65;2
8400;22278;105;;RUE;DE GOUEDIC;5;115;115;2
8401;22278;79;;RUE;JULES FERRY;2;59,05;59;2
8402;22325;2;;RUE;DE LA VICTOIRE;3;72,81;70;2
8403;25056;37;B;RUE;ERNEST RENAN;1;41,49;40;2
8404;25056;125;;RUE;DE BELFORT;3;58,11;58;2
8405;26235;9002;;RUE;ALBERT CAMUS;4;86,52;84;2
8406;26281;2;;RUE;VICTOR BOIRON;4;69,21;68;2
8407;26322;470;;RTE;D'URDY;3;80,42;81;2
8408;26362;40;;RUE;DES FRERES MONTGOLFIER;3;59,5;64;2
8409;27679;725;;RES;FRANCOISE;1;37,75;38;2
8410;28085;15;;PL;BILLARD;1;27,11;27;2
8411;28085;25;;RUE;DU DOCTEUR MICHEL GIBERT;4;84,68;84;2
8412;28085;14;;RUE;GUY MOQUET;3;66,5;69;2
8413;29019;5;;AV;DE TARENTE;2;46,98;47;2
8414;29019;17;;RUE;DE KER HEOL;3;61,46;63;2
8415;29019;6;;RUE;DES ECOLES;3;49,84;43;2
8416;29019;7;;SQ;DE SWANSEA;4;62,4;62;2
8417;29019;290;;RUE;ANATOLE FRANCE;2;46,58;50;2
8418;29019;2;;RUE;DU POURQUOI PAS;3;69,07;52;2
8419;29151;34;;PL;CHARLES DE GAULLE;2;43,7;43;2
8420;2A004;9007;;;SAN BIAGGIO;4;86,42;86;1
8421;2A004;9053;;RUE;MARECHAL LYAUTEY;2;54,75;55;2
8422;2A004;9029;;RUE;PAUL COLONNA D ISTRIA;3;73,37;70;2
8423;2A004;103;;CRS;NAPOLEON;4;86,7;90;2
8424;2A004;9106;;CHE;DE BIANCARELLO;4;96,99;94;2
8425;2A139;5001;B;;MORILICCIA;3;71,84;65;2
8426;30133;9;;RUE;DES ROSES;2;37,97;41;2
8427;30189;1045;;CHE;DU GOLF;3;74,23;74;2
8428;30189;6;;RUE;DE LA LAMPEZE;4;80,94;86;2
8429;30189;3;;PL;HUBERT ROUGER;4;95,6;89;2
8430;30189;6;;RUE;DE LA MADELEINE;2;31,4;35;2
8431;30202;2;B;CHE;DES EGLANTINES;2;54,4;54;2
8432;30255;5240;;PL;DU CHATEAU;1;28,91;25;2
8433;31022;126;;CHE;DES BOURDETTES;4;86,75;87;2
8434;31035;19;;MAIL;DE LA COCAGNE;4;90,15;89;1
8435;31259;;;AV;DE FALGARDE;2;44,48;44;2
8436;31555;15;;BD;LASCROSSES;4;78,45;76;2
8437;33011;8;;RUE;DU PORT OSTREICOLE;1;28,05;28;2
8438;33039;9001;;RES;PAUL ELUARD;5;79,46;90;2
8439;33039;4;;RUE;JANE GOODALL;3;65,12;66;2
8440;33039;10;;AV;DANIELLE MITTERRAND;3;75,87;78;2
8441;33063;1;;RUE;DUBESSAN;4;122,27;129;2
8442;33063;26;;RUE;BERGERET;2;23,07;29;2
8443;33063;116;;RUE;DE BELFORT;2;48,05;45;2
8444;33063;43;;RUE;PAUL LOUIS LANDE;3;73,62;68;2
8445;33063;85;;RUE;LEO SAIGNAT;2;50,92;51;2
8446;33063;26;;RUE;CHARLES PUYO;2;48,75;48;2
8447;33069;110;;RUE;RAYMOND POINCARE;2;34,34;36;2
8448;33069;77;;RUE;RAYMOND POINCARE;2;56,32;50;2
8449;33109;13;;PL;DE L'AIRIAL;4;76,73;79;1
8450;33119;2;;RUE;PIERRE BENOIT;5;97,85;93;2
8451;33199;51;;ALL;CLAUDE DEBUSSY;2;42,62;43;2
8452;33214;9001;;RES;FRONT DE MER;2;35,91;39;2
8453;33236;46;;AV;DE LA MAIRIE;3;64,64;65;1
8454;33249;21;;RUE;EDOUARD HERRIOT;2;36,89;36;2
8455;33281;5;;ALL;PHILIPPE DE CHAMPAIGNE;3;63,13;64;2
8456;33318;9;;ALL;DES TULIPES;2;37,6;38;2
8457;33522;5;;RUE;FENELON;5;86,42;84;2
8458;33550;558;;RTE;DE TOULOUSE;2;47,74;46;2
8459;34003;1;;AV;DU CHEVALIER D ALFONSE;2;20,96;21;2
8460;34003;7;;AV;DE LA JETEE;1;26,42;28;2
8461;34003;5;;RUE;DE L ARTILLERIE;1;22,84;23;2
8462;34032;17;;AV;GEORGES CLEMENCEAU;5;107,4;117;2
8463;34150;39;Q;BD;PASTEUR;2;31,24;31;2
8464;34151;26;;RUE;GEORGES BIZET;3;62,5;61;2
8465;34172;20;;RUE;LOUIS BRAILLE;1;23,74;24;2
8466;34249;149;;AV;CROIX DE MOUNIE;3;68,35;67;1
8467;34301;3;;RUE;CHAVASSE;3;54,37;50;2
8468;35051;175;;RUE;DE BELLE EPINE;4;92,01;92;2
8469;35068;3;;RUE;SAINT PIERRE;2;39,2;40;2
8470;35177;1;;RUE;DE TEXUE;3;62,6;63;2
8471;35196;9;;RUE;DU FRERE EMILIEN;2;40,18;41;2
8472;35238;11;;RUE;DU LOUIS D OR;2;28,55;29;2
8473;35238;44;;RUE;JEAN FRANCOIS MILLET;4;71;71;2
8474;35288;8;;RUE;TRAVERSIERE;1;24,2;30;2
8475;35352;9;;RUE;SARAH VAUGHAN;3;60,78;60;2
8476;37122;1;;;JARDIN MONTAIGNE;1;39,25;40;2
8477;37214;8;;RUE;GEORGES GUERARD;3;63,03;63;2
8478;37261;17;;RUE;DU CHAUDRON;4;119,66;117;2
8479;38179;7;;PL;DE LA REPUBLIQUE;0;27,42;30;2
8480;38185;6;;RUE;MALAKOFF;3;58,72;58;2
8481;38185;13;;RUE;BEYLE STENDHAL;4;113,02;105;2
8482;38185;19;;RUE;PONSARD;3;56,89;56;2
8483;38185;70;;RUE;DES EAUX CLAIRES;1;14,1;15;2
8484;38185;20;;RUE;ABBE GREGOIRE;1;11,1;11;2
8485;38185;12;;SQ;DES FUSILLES;4;69,16;71;2
8486;38421;6;;IMP;DU PONTET;4;68,54;68;2
8487;38528;49;A;CHE;DE MOLIERES;4;126,6;99;1
8488;40065;8;;AV;DE L'ADOUR;3;62,18;63;2
8489;40088;20;;RUE;DES CARMES;2;39,89;45;2
8490;40192;43;;RUE;PIERRE LISSE;1;29,08;28;2
8491;40279;17;;RUE;HENRI DESGRANGES;3;56,18;57;2
8492;40284;4;;CHE;DES BICHES;4;79,21;79;1
8493;40310;3;;RES;PINADA DEL MAR I;2;38,52;43;2
8494;40310;115;;RES;DES MAISONS D ALBRET 3;2;25,55;24;2
8495;40312;2;;RUE;DU PETIT JEAN;3;60,02;61;1
8496;42187;2;;RUE;CLAUDE BERNARD;1;33,33;35;2
8497;42218;7;;RUE;DE LA REPUBLIQUE;6;135,29;137;2
8498;42223;37;;RUE;DE LA REPUBLIQUE;2;45,82;70;2
8499;44055;5;;ALL;DE LA GUILLERAIE;2;36,95;35;2
8500;44055;41;;AV;OLIVIER GUICHARD;1;24,64;26;2
8501;44069;11;;ALL;DE LA MEUNERIE;5;79,23;60;1
8502;44109;11;;RUE;DE LA HAUTE MITRIE;3;64;72;2
8503;44109;54;;RUE;DU CROISSANT;3;67,3;65;2
8504;44109;5;;RUE;CHARLES VIAUD;2;51;47;2
8505;44109;4;;RUE;PAUL DUBOIS;1;18,63;16;2
8506;44109;2;;RUE;PAUL BELLAMY;1;17,9;18;2
8507;44109;8;;ALL;D ERDRE;1;12,32;16;2
8508;44109;27;;RUE;DE LA FERME DU RU;3;62,81;60;2
8509;44109;87;;BD;DES AMERICAINS;5;101,71;100;1
8510;44109;2;;AV;DE FRANCE;2;33,1;36;2
8511;44109;9;;RUE;DE LA PETITE SENSIVE;1;21,64;21;2
8512;44109;9;;ALL;DU COLVERT;2;43,74;45;2
8513;44162;2;;RUE;MARCEL MARNIER;3;58,4;58;1
8514;44162;15;;RUE;DE LA JOHARDIERE;4;92;91;1
8515;44190;20;;;LE VAL JOLI;4;69,92;71;2
8516;44211;53;;RUE;HENRI BOURNOUVEAU;4;109,87;108;1
8517;44213;221;;RUE;DU MAL FOCH;2;38,31;44;2
8518;45232;302;;ALL;DES COURLIS;5;89,95;88;1
8519;45234;37;;RUE;DES SANSONNIERES;4;65,88;65;2
8520;45234;18;;RUE;ANTIGNA;2;41,5;41;2
8521;47001;103;;AV;JEAN JAURES;1;32,52;33;2
8522;48095;11;;CHE;DE L ENCLOS ROUSSEL;3;71,31;71;2
8523;48198;55;;AV;DES CEVENNES;3;90;62;2
8524;49007;4;;RUE;LEON THULEAU;2;20,02;23;2
8525;49023;88;;RUE;DE LA LIME;2;47,4;48;2
8526;49223;89;B;RTE;DE NANTES;3;75,3;79;2
8527;49328;67;;QUAI;MAYAUD;3;81,6;78;2
8528;49377;17;;PL;DE LA MAIRIE (SOUCELLES);2;49,68;52;2
8529;50031;31;;BD;DES ECREHOUS;5;79,2;80;2
8530;50031;6110;;;LES HAMEAUX DE LA MER;4;56,9;50;1
8531;50218;25;;AV;ARISTIDE BRIAND;2;48;48;2
8532;51055;1;;RUE;FRANKLIN;2;29,4;35;2
8533;51454;3;B;RUE;PASSE DEMOISELLES;3;75;74;2
8534;51454;8;;AV;DE PARIS;3;79,91;79;2
8535;51573;35;;RUE;AUGUSTE HUMBERT;4;67,68;66;2
8536;53130;13;;AV;BONAPARTE;3;69,01;69;2
8537;54138;44;;RUE;DU LIMOUSIN;4;86,06;87;2
8538;54184;125;;AV;FOCH;3;87,28;90;2
8539;54280;49;;RUE;DU GENERAL DE GAULLE;5;77,91;80;2
8540;54395;2;;RUE;ABBE GREGOIRE;2;43,84;48;2
8541;54395;35;;RUE;CHARLES III;3;57,65;57;2
8542;54526;7;;RUE;NOUVELLE;3;64,45;65;2
8543;56034;8498;;CHS;DES BERNACHES;2;31,12;31;2
8544;56098;107;;RUE;JEAN JAURES;2;62,11;65;2
8545;56098;6;;AV;DU PENHER;3;67,41;65;2
8546;56178;25;;RUE;DU FIL;3;121;68;2
8547;56260;5;;RUE;DE LA BOUCHERIE;1;19,78;25;2
8548;58194;5;B;BD;VICTOR HUGO;1;19,4;13;2
8549;59009;10;;RUE;JOHN HADLEY;1;18;17;2
8550;59350;30;B;RUE;ETIENNE DOLET HELLEMMES;3;69,6;69;2
8551;59350;110;;RUE;DU CHEVALIER FRANCAIS;2;57,6;49;2
8552;59350;7;;RUE;GEORGES DANTON;4;79,29;80;2
8553;59350;3;B;RUE;DESCHODT;3;61,81;62;2
8554;59378;286;;BD;GEORGES CLEMENCEAU;4;85,87;83;2
8555;59512;36;;RUE;COLIGNY;2;44,18;45;2
8556;59606;4;;RUE;DE LA FRATERNITE RES SEVRE;3;69,79;66;2
8557;59606;3;;RUE;DELSAUX;4;94,56;103;2
8558;60139;135;;RUE;HENRI BARBUSSE;1;19,27;24;2
8559;60159;5;;RUE;DU MARECHAL KOENIG;4;81,51;80;2
8560;60175;2;;RUE;STEPHANE MALLARME;3;53,41;53;2
8561;60282;36;;RUE;VICTOR HUGO;3;92,51;93;2
8562;60346;14;;AV;DE LA LIBERATION;2;40,58;42;2
8563;60346;10;;AV;DE LA LIBERATION;1;25,53;24;2
8564;60414;64;;RUE;SALVADOR ALLENDE;2;34,32;48;2
8565;60489;2;;RUE;DU LAMBURE;3;58,65;58;2
8566;62065;1;;RUE;AIME CESAIRE;3;60,5;60;2
